pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
n0,2112
nbar0,-2112
pi-,-211
pi+,211
pi-,-211
pi-,-211
p+,2212
pbar-,-2212
K+,321
pi-,-211
pi+,211
pi-,-211
K+,321
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
K+,321
K_L0,130
K_L0,130
pi+,211
pi-,-211
pi+,211
K-,-321
pi+,211
K-,-321
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi-,-211
pi-,-211
K+,321
pi-,-211
pi+,211
pi+,211
pi+,211
pi-,-211
K_L0,130
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
e-,11
e+,-11
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
K-,-321
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
gamma,22
pi+,211
gamma,22
gamma,22
pi-,-211
pi+,211
gamma,22
gamma,22
K+,321
pi-,-211
K_L0,130
gamma,22
gamma,22
gamma,22
e-,11
e+,-11
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
K_L0,130
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
p+,2212
pi+,211
pi-,-211
pi-,-211
pi-,-211
pi+,211
pi-,-211
pi+,211
pbar-,-2212
pi-,-211
pi+,211
pi-,-211
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
n0,2112
pi+,211
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pbar-,-2212
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
nu_e,12
nu_ebar,-12
gamma,22
gamma,22
gamma,22
gamma,22
mu+,-13
gamma,22
mu-,13
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
pi-,-211
nbar0,-2112
pi+,211
pi-,-211
p+,2212
K_L0,130
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi+,211
pi+,211
K-,-321
pi+,211
pi-,-211
pi-,-211
K+,321
pi-,-211
pbar-,-2212
pi+,211
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
K-,-321
n0,2112
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
n0,2112
pi-,-211
nbar0,-2112
pi-,-211
pi-,-211
K-,-321
pi+,211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
K-,-321
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
nu_mu,14
mu+,-13
gamma,22
gamma,22
pi-,-211
e+,-11
nu_e,12
gamma,22
gamma,22
pi-,-211
pi+,211
K+,321
K-,-321
K_L0,130
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
e-,11
e+,-11
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
n0,2112
pi+,211
pbar-,-2212
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
K-,-321
pi+,211
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi+,211
pi-,-211
n0,2112
pi-,-211
nbar0,-2112
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
n0,2112
pbar-,-2212
pi+,211
pi+,211
pi-,-211
pi-,-211
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
K-,-321
pi+,211
gamma,22
gamma,22
nu_mu,14
mu+,-13
gamma,22
gamma,22
K_L0,130
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
K-,-321
pi-,-211
pi+,211
pi-,-211
pi+,211
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
K+,321
pi+,211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
K+,321
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
n0,2112
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pbar-,-2212
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi-,-211
pi+,211
K-,-321
pi+,211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi+,211
pi+,211
K+,321
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
mu-,13
mu+,-13
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
K-,-321
K+,321
pi-,-211
K+,321
pi-,-211
K_L0,130
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K_L0,130
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
K+,321
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
K_L0,130
pi-,-211
K+,321
K_L0,130
pi+,211
pi-,-211
K_L0,130
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
K+,321
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
nu_tau,16
nu_taubar,-16
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
K+,321
pi+,211
pi-,-211
pi+,211
n0,2112
nbar0,-2112
pi+,211
pi-,-211
pi-,-211
pi-,-211
pi+,211
pi-,-211
K_L0,130
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
e-,11
gamma,22
e+,-11
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
pi-,-211
p+,2212
pbar-,-2212
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi+,211
pi-,-211
e+,-11
nu_e,12
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
e-,11
nu_ebar,-12
gamma,22
gamma,22
K-,-321
pi+,211
gamma,22
gamma,22
K_L0,130
gamma,22
gamma,22
nu_e,12
nu_ebar,-12
gamma,22
gamma,22
gamma,22
pi-,-211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
p+,2212
nbar0,-2112
pi-,-211
pi+,211
pi-,-211
pi+,211
pi+,211
p+,2212
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
pi-,-211
pi+,211
pi+,211
pi-,-211
gamma,22
gamma,22
pbar-,-2212
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
nu_tau,16
nu_taubar,-16
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi+,211
pi+,211
pi-,-211
pi-,-211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
gamma,22
gamma,22
mu-,13
nu_mubar,-14
gamma,22
gamma,22
K-,-321
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
pi+,211
pi-,-211
pi-,-211
nu_mubar,-14
mu-,13
gamma,22
gamma,22
gamma,22
e-,11
e+,-11
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
mu+,-13
nu_mu,14
gamma,22
gamma,22
pi+,211
pi-,-211
K_L0,130
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
p+,2212
nbar0,-2112
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
K+,321
K+,321
pi-,-211
K+,321
pi+,211
K-,-321
pi+,211
pi+,211
pi-,-211
pi-,-211
pi-,-211
pi+,211
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi-,-211
pi+,211
pi-,-211
K+,321
pi+,211
pi-,-211
n0,2112
pi-,-211
nbar0,-2112
pi+,211
pi+,211
pi-,-211
K+,321
K_L0,130
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
K_L0,130
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
e+,-11
e-,11
gamma,22
gamma,22
K-,-321
pi-,-211
pi+,211
K-,-321
pi+,211
K_L0,130
K_L0,130
pi+,211
K_L0,130
gamma,22
gamma,22
gamma,22
K+,321
K-,-321
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
nu_e,12
nu_ebar,-12
gamma,22
gamma,22
gamma,22
gamma,22
p+,2212
pbar-,-2212
K+,321
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
K_L0,130
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
mu-,13
nu_mubar,-14
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
p+,2212
nbar0,-2112
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K+,321
gamma,22
K-,-321
pi-,-211
pi+,211
K_L0,130
pi-,-211
pi-,-211
pi-,-211
pi+,211
pi+,211
K_L0,130
K_L0,130
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
e-,11
gamma,22
e+,-11
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
K-,-321
K+,321
pi-,-211
K+,321
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
K_L0,130
K-,-321
p+,2212
pbar-,-2212
K-,-321
pi+,211
K_L0,130
K_L0,130
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi+,211
pi-,-211
K-,-321
pi+,211
pi-,-211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
pi-,-211
pi+,211
gamma,22
gamma,22
n0,2112
pi+,211
pbar-,-2212
pi+,211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
pi-,-211
pi+,211
pi-,-211
K_L0,130
K+,321
pi-,-211
pi+,211
pi-,-211
K-,-321
pi+,211
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
pi-,-211
pi+,211
gamma,22
gamma,22
K+,321
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi-,-211
pi+,211
K-,-321
pi+,211
pi+,211
K_L0,130
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
K_L0,130
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
K-,-321
pi+,211
K_L0,130
pi+,211
pi-,-211
gamma,22
gamma,22
p+,2212
pi-,-211
gamma,22
gamma,22
pi+,211
pi-,-211
pi+,211
pi-,-211
pi-,-211
pi+,211
pi+,211
gamma,22
gamma,22
pi+,211
gamma,22
gamma,22
pbar-,-2212
pi+,211
pi-,-211
pi-,-211
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
gamma,22
pi-,-211
pi-,-211
pi-,-211
p+,2212
K-,-321
p+,2212
nbar0,-2112
K-,-321
